sorteio_index,concurso,data,previsto_1,previsto_2,previsto_3,previsto_4,previsto_5,previsto_6,real_1,real_2,real_3,real_4,real_5,real_6,acertos
2916,2917,20/09/2025,1,13,28,37,46,60,5,11,16,27,40,45,0
2917,2918,23/09/2025,1,13,28,37,46,60,6,19,38,41,46,57,1
2918,2919,25/09/2025,1,13,28,37,46,60,11,27,31,41,48,54,0
2919,2920,27/09/2025,1,13,28,37,46,60,3,26,28,37,42,53,2
2920,2921,30/09/2025,1,13,28,37,46,60,8,12,16,19,31,58,0
2921,2922,02/10/2025,1,13,28,37,46,60,9,12,14,16,26,36,0
2922,2923,04/10/2025,1,13,28,37,46,60,4,23,30,39,40,41,0
2923,2924,07/10/2025,1,13,28,37,46,60,18,27,32,39,55,56,0
2924,2925,09/10/2025,1,13,28,37,46,60,10,19,30,40,48,54,0
2925,2926,11/10/2025,1,13,28,37,46,60,7,9,12,13,24,27,1
2926,2927,14/10/2025,1,13,28,37,46,60,3,4,14,35,45,49,0
2927,2928,16/10/2025,1,13,28,37,46,60,11,27,34,55,56,58,0
2928,2929,18/10/2025,1,13,28,37,46,60,14,24,29,32,46,48,1
2929,2930,21/10/2025,1,13,28,37,46,60,3,7,8,34,35,51,0
2930,2931,23/10/2025,1,13,28,37,46,60,1,11,13,14,36,45,2
2931,2932,25/10/2025,1,13,28,37,46,60,4,19,23,36,47,52,0
2932,2933,28/10/2025,1,13,28,37,46,60,4,13,25,36,40,53,1
2933,2934,30/10/2025,1,13,28,37,46,60,1,18,22,42,48,50,1
2934,2935,01/11/2025,1,13,28,37,46,60,9,17,23,26,33,59,0
2935,2936,04/11/2025,1,13,28,37,46,60,9,18,28,34,38,57,1
