epoch,loss
1,0.14425365561670292
2,0.07921860753838482
3,0.07749473608908106
4,0.07684063194879417
5,0.07638362754400962
6,0.0760357375434839
7,0.07582292038072003
8,0.07573383024644331
9,0.07560957377888466
10,0.07553007062829908
11,0.07538665741519199
12,0.07541790274811573
13,0.07528847891613434
14,0.07528672868111094
15,0.07517262112573196
16,0.07514841353795568
17,0.07514184061946765
18,0.07504877537651791
19,0.07509346053899964
20,0.07505702561205202
21,0.0750213506443253
22,0.07500585091244327
23,0.07503306938976538
24,0.0749271994487184
25,0.07499539396150516
26,0.07495263324734944
27,0.07501158704523181
28,0.07491044716431143
29,0.07485418078677902
30,0.07492816326071004
31,0.07486955528376532
32,0.07494152756662317
33,0.07482672649654534
34,0.07478235955121088
35,0.07478999362780096
36,0.07486068583577057
37,0.0747904109417415
38,0.07486760502304536
39,0.07479255084620147
40,0.07482427273128854
41,0.07472777956984733
42,0.07479066703000355
43,0.07474962227005776
44,0.07483214754713037
45,0.0747320382891457
46,0.07475859814328574
47,0.07472156655918705
48,0.07471968135872825
49,0.07476480744901251
50,0.07468488995657592
51,0.07474083652913245
52,0.07471534251515331
53,0.07472494106149413
54,0.0747992921559537
55,0.0747867439125405
56,0.07476028152665154
57,0.07473323815833025
58,0.07474300456665904
59,0.07474572256288893
60,0.07472439435987524
61,0.07467314674228918
62,0.07469845424747207
63,0.07470841473731839
64,0.07467796413299164
65,0.07472107482086765
66,0.07470172016672749
67,0.07471196548860581
68,0.07469131256061826
69,0.07468598568048633
70,0.07471225797478619
71,0.07470845699798866
72,0.07471831692535369
73,0.07457069600703287
74,0.07450047505846441
75,0.07448207562575575
76,0.07450728321987424
77,0.0744853752151213
78,0.07450550391537245
79,0.07450053323813476
80,0.07451657755453078
81,0.07451721838588923
82,0.074473799822109
83,0.07450889608736247
84,0.074499533557501
85,0.0744832975616872
86,0.07450714035600912
87,0.07451232429084882
88,0.07451679349922744
89,0.07448433811873034
90,0.07445042490796314
91,0.07448329446745701
92,0.07449137004183941
93,0.07448103323660261
94,0.07450484797928503
95,0.07452344190064675
96,0.07452279809719878
97,0.07441987785322418
98,0.07451823223484018
99,0.07448682079061134
100,0.07452802266416654
101,0.07448118318462632
102,0.07448015712160881
103,0.07447276089360805
104,0.07448079933722813
105,0.07450157851795029
106,0.07445901550881849
107,0.07451442323747229
108,0.07453078198465493
109,0.07437595289424469
110,0.07436452154579058
111,0.0743727455210816
112,0.0743245418931617
113,0.07435584031656141
114,0.0743331114043955
115,0.07429544126889745
116,0.07433628396746891
117,0.07440332184886672
118,0.07434927830930615
119,0.0743620506808406
120,0.07435245864866862
121,0.07432761544086894
122,0.07432517710604954
123,0.07437694414717252
124,0.07431947594620492
125,0.07439447568902552
126,0.074383801856979
127,0.07427231368959927
128,0.0743104817518771
129,0.07427371667871058
130,0.07432262184189968
131,0.0742591845858944
132,0.0743056223447857
133,0.07424305949380489
134,0.07429148814554423
135,0.07431669500681871
136,0.074290729041308
137,0.07428714881340663
138,0.07428884660937096
139,0.07427692604683787
140,0.07423934633614587
141,0.07430340756809777
142,0.07427120595519009
143,0.0743099737688492
144,0.0742350152281464
145,0.07427441051911787
146,0.07427226882326148
147,0.07429397472592651
148,0.07422985397075695
149,0.07424776215370887
150,0.07430902974364537
151,0.07423339177513383
152,0.07431950025219734
153,0.0742677492522151
154,0.07426970374714481
155,0.07427531761712715
156,0.07423235158451268
157,0.07421477415848299
158,0.07422550104029192
159,0.07420696737499186
160,0.07421780564908773
161,0.07420940436626393
162,0.07422799270986859
163,0.07421703823928624
164,0.07422102816769334
165,0.07421212289177004
166,0.07423535327279503
167,0.07423935879449375
168,0.07421955938547686
169,0.07422829114022803
170,0.07423855437607062
171,0.0742442149852143
172,0.07418148838431457
173,0.07420636229013484
174,0.07416388803655333
175,0.07420128107559486
176,0.07424561874788316
177,0.07421802635727033
178,0.07422436293357057
179,0.07419749984487159
180,0.07421339950600608
181,0.07424161367403354
182,0.07418622634287089
183,0.07420352459605274
184,0.07419604364314365
185,0.07420549374786231
186,0.07417772319473204
187,0.07418875913313829
188,0.07421786317734119
189,0.07419327613923067
190,0.07417693726026295
191,0.07420817200766235
192,0.07417249528925275
193,0.07419028275651358
194,0.07417156453666791
195,0.0742213877905262
196,0.07422808541463373
197,0.07418755226122226
198,0.07421161621157589
199,0.07418701940221213
200,0.07415499587039479
